openmlid,learner,train_size,seed,traintime,error_rate
1457,<class 'sklearn.linear_model._perceptron.Perceptron'>,512,0,5528,0.6052631578947368
1457,<class 'sklearn.linear_model._perceptron.Perceptron'>,1024,0,13032,0.4369747899159664
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,2,0,65,0.9679572763684912
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,4,0,24,0.9699197860962568
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,8,0,24,0.9403485254691688
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,16,0,29,0.9150943396226416
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,32,0,41,0.8855585831062671
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,64,0,50,0.8377437325905293
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,128,0,76,0.7303206997084548
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,256,0,81,0.6294212218649518
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,512,0,193,0.4949392712550608
1457,<class 'sklearn.linear_model._ridge.RidgeClassifier'>,1024,0,437,0.3340336134453782
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,2,0,15,0.9806408544726302
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,4,0,27,0.9779411764705882
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,8,0,35,0.9544235924932976
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,16,0,72,0.9501347708894878
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,32,0,160,0.9686648501362398
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,64,0,548,0.9247910863509752
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,128,0,1416,0.8483965014577259
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,256,0,2344,0.7636655948553055
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,512,0,6008,0.5931174089068826
1457,<class 'sklearn.linear_model._stochastic_gradient.SGDClassifier'>,1024,0,13864,0.36764705882352944
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,2,0,530,0.9672897196261684
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,4,0,449,0.9732620320855616
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,8,0,476,0.967828418230563
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,16,0,591,0.9595687331536388
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,32,0,1617,0.9393732970027248
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,64,0,1653,0.9220055710306406
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,128,0,2428,0.8534985422740524
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,256,0,5882,0.7057877813504823
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,512,0,8963,0.5526315789473684
1457,<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>,1024,0,17005,0.3907563025210085
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,16,0,49,0.9690026954177896
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,32,0,58,0.9822888283378748
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,64,0,88,0.9749303621169916
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,128,0,210,0.9278425655976676
