,task_id,classifier,performance_curve_end,performance_prediction,performance_next_point,delta_current_prediction,delta_current_actual
0,359956,LinearSVC(),0.21363636363636368,0.14458467719028345,0.15322681704260654,0.06905168644608023,0.060409546593757135
1,359956,DecisionTreeClassifier(),0.25909090909090915,0.23234173456978002,0.19006892230576444,0.026749174521129127,0.0690219867851447
2,359956,ExtraTreeClassifier(),0.24,0.22840959829738863,0.2024436090225564,0.011590401702611358,0.03755639097744359
3,359956,LogisticRegression(),0.17227272727272727,0.13641055995747897,0.12512531328320803,0.0358621673152483,0.04714741398951924
4,359956,PassiveAggressiveClassifier(),0.24499999999999997,0.21762805983102465,0.20407268170426063,0.027371940168975317,0.04092731829573934
5,359956,Perceptron(),0.19090909090909092,0.10245447996232215,0.17963659147869676,0.08845461094676876,0.011272499430394156
6,359956,RidgeClassifier(),0.2413636363636364,0.11977335960949276,0.13903508771929823,0.12159027675414363,0.10232854864433816
7,359956,SGDClassifier(),0.22545454545454544,0.14712396595254518,0.16528822055137846,0.07833057950200026,0.06016632490316698
8,359956,MLPClassifier(),0.18636363636363634,0.12980893941569283,0.13198621553884715,0.05655469694794352,0.05437742082478919
9,359956,LinearDiscriminantAnalysis(),0.3059090909090909,0.2520581182254661,0.15125313283208022,0.05385097268362482,0.15465595807701069
10,359956,QuadraticDiscriminantAnalysis(),0.4340909090909091,0.394063067060095,0.3222431077694236,0.04002784203081411,0.11184780132148547
11,359956,BernoulliNB(),0.22318181818181815,0.2037605792838728,0.2166666666666667,0.019421238897945337,0.006515151515151446
12,359956,KNeighborsClassifier(),0.2290909090909091,0.193008439915915,0.1444862155388471,0.03608246917499411,0.08460469355206199
13,359956,ExtraTreesClassifier(),0.1709090909090909,0.14798505256478967,0.12681704260651633,0.022924038344301234,0.04409204830257457
14,359956,RandomForestClassifier(),0.22318181818181823,0.2020315288891881,0.14439223057644113,0.02115028929263013,0.0787895876053771
15,359956,GradientBoostingClassifier(),0.2159090909090909,0.1262166339850177,0.13543233082706768,0.08969245692407321,0.08047676008202323
16,168868,DecisionTreeClassifier(),0.013600000000000011,0.0169964011260645,0.009819202635853685,-0.003396401126064489,0.0037807973641463266
17,168868,ExtraTreeClassifier(),0.017720000000000003,0.01957969533140734,0.012483334195268292,-0.001859695331407337,0.0052366658047317115
18,168868,Perceptron(),0.014480000000000003,-0.004129400410590733,0.01224987430272385,0.018609400410590737,0.002230125697276153
19,168868,RidgeClassifier(),0.01150000000000001,0.009747922395780534,0.010670583133136203,0.001752077604219476,0.0008294168668638077
20,168868,MLPClassifier(),0.01008,0.006583394889110622,0.007360922645354961,0.0034966051108893783,0.0027190773546450393
21,168868,LinearDiscriminantAnalysis(),0.012850000000000006,0.009028442811121244,0.00936595310145888,0.0038215571888787613,0.0034840468985411262
22,168868,BernoulliNB(),0.13720999999999997,0.1409003633686845,0.1365341429411054,-0.0036903633686845294,0.0006758570588945578
23,168868,KNeighborsClassifier(),0.013990000000000002,0.01570271028560438,0.010121249540882882,-0.0017127102856043762,0.00386875045911712
24,168868,ExtraTreesClassifier(),0.010800000000000021,0.013349671960404808,0.006289737417645114,-0.002549671960404787,0.0045102625823549075
25,168868,RandomForestClassifier(),0.009650000000000014,0.00554126328506635,0.006056275639028585,0.004108736714933664,0.0035937243609714294
26,359970,LinearSVC(),0.6385112547359036,0.5329720254594806,0.536807396774466,0.10553922927642301,0.10170385796143766
27,359970,DecisionTreeClassifier(),0.6739023846668152,0.487965033298579,0.48989059239333665,0.1859373513682362,0.18401179227347852
28,359970,ExtraTreeClassifier(),0.6684198796523289,0.5496228144736719,0.5202150758133195,0.11879706517865696,0.14820480383900936
29,359970,LogisticRegression(),0.6022955203922443,0.5210009259242461,0.5241713610209768,0.08129459446799825,0.07812415937126749
30,359970,PassiveAggressiveClassifier(),0.6663249387118342,0.6557672848814536,0.6745816093895127,0.010557653830380542,-0.008256670677678546
31,359970,Perceptron(),0.6594383775351014,0.6226612194636609,0.6078883246281709,0.03677715807144044,0.05155005290693049
32,359970,RidgeClassifier(),0.6373077780254068,0.5508246036339934,0.5538368656590391,0.0864831743914134,0.08347091236636772
33,359970,SGDClassifier(),0.6539781591263651,0.5576967913150117,0.550643900556085,0.09628136781135344,0.10333425857028011
34,359970,MLPClassifier(),0.6124359260084689,0.437712017172483,0.43595167730184203,0.17472390883598587,0.17648424870662682
35,359970,LinearDiscriminantAnalysis(),0.6798083351905505,0.5429057525252532,0.5458139226306076,0.1369025826652973,0.13399441255994293
36,359970,QuadraticDiscriminantAnalysis(),0.7858702919545353,0.5433049021473803,0.5441641234725757,0.24256538980715503,0.24170616848195958
37,359970,BernoulliNB(),0.6089146422999777,0.5525129987836305,0.5396612827348284,0.056401643516347244,0.06925335956514933
38,359970,KNeighborsClassifier(),0.6315801203476711,0.4285084175007796,0.4152967997973486,0.20307170284689147,0.21628332055032246
39,359970,ExtraTreesClassifier(),0.574771562291063,0.33152385597740874,0.30894247355279186,0.24324770631365422,0.2658290887382711
40,359970,RandomForestClassifier(),0.5868731892132828,0.33287583350359284,0.32564299586253487,0.25399735570968995,0.26123019335074793
41,359970,GradientBoostingClassifier(),0.6184310229552039,0.40699507929966616,0.41166403300322074,0.21143594365553775,0.20676698995198317
42,359979,DecisionTreeClassifier(),0.07014270032930846,0.06930453119067373,0.05993189951180067,0.0008381691386347284,0.01021080081750779
43,359979,ExtraTreeClassifier(),0.07870472008781558,0.08265117085474469,0.07047899656631122,-0.003946450766929108,0.008225723521504358
